Issue Created At,1 - Performance Loss,2 - Quality Issue - Appearance,3 - Quality Issue - Supplier,4 - Quality Issue - Functional,5 - Quality Issue - Assembly,1 - Performance Loss avg,2 - Quality Issue - Appearance avg,3 - Quality Issue - Supplier avg,4 - Quality Issue - Functional avg,5 - Quality Issue - Assembly avg
2022 05,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0
2022 06,1.0,4.0,0.0,0.0,15.0,0.5,2.0,0.0,0.5,9.5
2022 07,0.0,2.0,1.0,2.0,19.0,0.3333333333333333,2.0,0.3333333333333333,1.0,12.666666666666666
2022 08,0.0,7.0,0.0,8.0,32.0,0.25,3.25,0.25,2.75,17.5
2022 09,0.0,6.0,1.0,0.0,18.0,0.2,3.8,0.4,2.2,17.6
2022 10,0.0,20.0,0.0,7.0,26.0,0.16666666666666666,6.5,0.3333333333333333,3.0,19.0
2022 11,0.0,6.0,0.0,4.0,7.0,0.14285714285714285,6.428571428571429,0.2857142857142857,3.142857142857143,17.285714285714285
2022 12,1.0,15.0,0.0,4.0,10.0,0.25,7.5,0.25,3.25,16.375
2022 13,1.0,6.0,0.0,8.0,28.0,0.3333333333333333,7.333333333333333,0.2222222222222222,3.7777777777777777,17.666666666666668
2022 14,0.0,4.0,0.0,3.0,13.0,0.3,7.0,0.2,3.7,17.2
